"b:tnow in s";"s:Vac_ist";"s:id_ref";"s:iq_ref"
0.354000;1.002411;0.498797;-0.498797
0.355000;1.002411;0.498797;-0.498797
0.356000;1.002411;0.498797;-0.498797
0.357000;1.002411;0.498797;-0.498797
0.358000;1.002411;0.498797;-0.498797
0.359000;1.002411;0.498797;-0.498797
0.360000;1.002411;0.498797;-0.498797
0.361000;1.002411;0.498797;-0.498797
0.362000;1.002411;0.498797;-0.498797
0.363000;1.002411;0.498797;-0.498797
0.364000;1.002411;0.498797;-0.498797
0.365000;1.002411;0.498797;-0.498797
0.366000;1.002411;0.498797;-0.498797
0.367000;1.002411;0.498797;-0.498797
0.368000;1.002411;0.498797;-0.498797
0.369000;1.002411;0.498797;-0.498797
0.370000;1.002411;0.498797;-0.498797
0.371000;1.002411;0.498797;-0.498797
0.372000;1.002411;0.498797;-0.498797
0.373000;1.002411;0.498797;-0.498797
0.374000;1.002411;0.498797;-0.498797
0.375000;1.002411;0.498797;-0.498797
0.376000;1.002411;0.498797;-0.498797
0.377000;1.002411;0.498797;-0.498797
0.378000;1.002411;0.498797;-0.498797
0.379000;1.002411;0.498797;-0.498797
0.380000;1.002411;0.498797;-0.498797
0.381000;1.002411;0.498797;-0.498797
0.382000;1.002411;0.498797;-0.498797
0.383000;1.002411;0.498797;-0.498797
0.384000;1.002411;0.498797;-0.498797
0.385000;1.002411;0.498797;-0.498797
0.386000;1.002411;0.498797;-0.498797
0.387000;1.002411;0.498797;-0.498797
0.388000;1.002411;0.498797;-0.498797
0.389000;1.002411;0.498797;-0.498797
0.390000;1.002411;0.498797;-0.498797
0.391000;1.002411;0.498797;-0.498797
0.392000;1.002411;0.498797;-0.498797
0.393000;1.002411;0.498797;-0.498797
0.394000;1.002411;0.498797;-0.498797
0.395000;1.002411;0.498797;-0.498797
0.396000;1.002411;0.498797;-0.498797
0.397000;1.002411;0.498797;-0.498797
0.398000;1.002411;0.498797;-0.498797
0.399000;1.002411;0.498797;-0.498797
0.400000;1.002411;0.498797;-0.498797
0.401000;1.002411;0.498797;-0.498797
0.402000;1.002411;0.498797;-0.498797
0.403000;1.002411;0.498797;-0.498797
0.404000;1.002411;0.498797;-0.498797
0.405000;1.002411;0.498797;-0.498797
0.406000;1.002411;0.498797;-0.498797
0.407000;1.002411;0.498797;-0.498797
0.408000;1.002411;0.498797;-0.498797
0.409000;1.002411;0.498797;-0.498797
0.410000;1.002411;0.498797;-0.498797
0.411000;1.002411;0.498797;-0.498797
0.412000;1.002411;0.498797;-0.498797
0.413000;1.002411;0.498797;-0.498797
0.414000;1.002411;0.498797;-0.498797
0.415000;1.002411;0.498797;-0.498797
0.416000;1.002411;0.498797;-0.498797
0.417000;1.002411;0.498797;-0.498797
0.418000;1.002411;0.498797;-0.498797
0.419000;1.002411;0.498797;-0.498797
0.420000;1.002411;0.498797;-0.498797
0.421000;1.002411;0.498797;-0.498797
0.422000;1.002411;0.498797;-0.498797
0.423000;1.002411;0.498797;-0.498797
0.424000;1.002411;0.498797;-0.498797
0.425000;1.002411;0.498797;-0.498797
0.426000;1.002411;0.498797;-0.498797
0.427000;1.002411;0.498797;-0.498797
0.428000;1.002411;0.498797;-0.498797
0.429000;1.002411;0.498797;-0.498797
0.430000;1.002411;0.498797;-0.498797
0.431000;1.002411;0.498797;-0.498797
0.432000;1.002411;0.498797;-0.498797
0.433000;1.002411;0.498797;-0.498797
0.434000;1.002411;0.498797;-0.498797
